ASM,オリジナル,Allatori,Duplication,Irreducibility,Marge,ProGuard,Opaque,,,,,,,,,,
invokevirtual pop aload getfield aload,16,3,16,16,16,16,16,3071.59,,,,,,,,,
ldc invokevirtual invokevirtual pop aload,16,,16,16,16,16,16,2980.09,,,,,,,,,
newInsn dup invokespecial astore aload,16,6,16,16,16,16,16,3942.03,,,,,,,,,
<code> <code> <code> aload iload,15,8,15,15,12,15,4,2109.75,,,,,,,,,
aload aload getfield invokespecial astore,15,,15,15,15,15,15,3792.44,,,,,,,,,
aload dup getfield iconst1 iadd,15,2,15,15,15,15,15,10054.8,,,,,,,,,
aload getfield aload invokevirtual invokevirtual,15,11,15,14,15,15,15,1864.69,,,,,,,,,
aload iload invokevirtual istore iinc,15,,15,15,7,15,15,6361.88,,,,,,,,,
aload putfield aload aload putfield,15,5,15,14,15,15,15,2841.71,,,,,,,,,
getfield aload getfield aload getfield,15,2,15,15,15,15,15,1746.29,,,,,,,,,
getfield bipush aload getfield aload,15,15,15,15,15,15,15,6611.15,,,,,,,,,
getfield sipush iand ifeq aload,15,16,15,15,15,15,6,6674.98,,,,,,,,,
iload bipush ifIcmpeq iload bipush,15,14,15,15,5,15,1,13568.4,,,,,,,,,
iload invokevirtual istore iinc iload,15,,15,15,7,15,15,16602.3,,,,,,,,,
invokevirtual invokevirtual pop aload getfield,15,6,15,13,15,15,15,3407.94,,,,,,,,,
istore iinc iload ifle aload,15,,15,15,4,15,,14360.7,,,,,,,,,
ldc invokespecial gotoInsn aload ldc,15,,15,15,15,15,15,10175.7,,,,,,,,,
pop aload aload getfield getfield,15,,15,15,15,15,15,4351.22,,,,,,,,,
pop iconst0 istore iload aload,15,,2,15,12,15,15,19328.5,,,,,,,,,
aload aload getfield aload iload,14,,14,14,14,14,14,11942.3,,,,,,,,,
aload getfield aload dup getfield,14,9,14,14,14,14,14,9396.29,,,,,,,,,
aload getfield getfield invokevirtual pop,14,7,14,14,14,14,14,3216.72,,,,,,,,,
aload iload iconst1 iadd baload,14,13,14,14,6,14,14,3549.12,,,,,,,,,
aload iload invokevirtual pop aload,14,4,14,14,6,14,14,2161.95,,,,,,,,,
dup getfield iconst1 iadd putfield,14,14,14,14,14,14,14,8459.92,,,,,,,,,
gotoInsn aload instanceofInsn ifeq aload,14,,14,14,14,14,13,5166.64,,,,,,,,,
invokespecial gotoInsn aload ldc invokespecial,14,,14,14,14,14,14,6998.34,,,,,,,,,
invokevirtual pop gotoInsn aload getfield,14,3,14,14,14,14,14,3846.14,,,,,,,,,
istore iconst0 istore iconst0 istore,14,14,13,14,12,14,15,3486.2,,,,,,,,,
newInsn dup invokespecial putfield aload,14,6,14,14,14,14,14,4572.36,,,,,,,,,
<code> <code> <code> aload invokevirtual,13,12,13,13,11,13,,1086.85,,,,,,,,,
<code> <code> aload getfield bipush,13,2,13,13,12,13,,2246.01,,,,,,,,,
aload aload putfield aload aload,13,2,13,13,13,13,13,2501.64,,,,,,,,,
aload getfield aload iload invokevirtual,13,,13,13,13,13,13,2448.99,,,,,,,,,
aload getfield astore gotoInsn aload,13,,13,12,13,13,13,6886.1,,,,,,,,,
aload getfield iload iaload istore,13,2,11,13,3,13,13,4628.58,,,,,,,,,
aload getfield iload invokevirtual pop,13,4,13,12,11,13,13,5026.12,,,,,,,,,
astore aload aload invokespecial aload,13,8,13,6,13,13,13,6032.85,,,,,,,,,
astore aload ifnull aload aload,13,,13,13,13,13,4,4639.43,,,,,,,,,
getfield aload dup getfield dupX1,13,13,13,12,13,13,13,8878.18,,,,,,,,,
getfield aload iload invokevirtual iaload,13,,13,13,13,13,13,21229.6,,,,,,,,,
getfield bipush invokevirtual pop aload,13,5,13,11,13,13,13,3474.76,,,,,,,,,
getfield invokespecial astore aload ifnonnull,13,,13,13,13,13,13,6405.43,,,,,,,,,
getfield putfield aload aload putfield,13,2,13,13,13,13,13,5421.77,,,,,,,,,
iadd istore iload aload getfield,13,2,10,13,8,13,13,6964.61,,,,,,,,,
iconst0 istore iconst0 istore iconst0,13,13,10,13,12,13,13,6504.28,,,,,,,,,
iconst1 iadd baload sipush iand,13,12,13,13,13,13,13,7380.75,,,,,,,,,
iinc iload ifle aload iload,13,,13,13,2,13,,16412.2,,,,,,,,,
iload aload iload iconst1 iadd,13,10,13,13,,13,13,9116.32,,,,,,,,,
iload bipush iadd invokevirtual istore,13,6,13,13,2,13,13,10592.1,,,,,,,,,
iload iconst1 iadd baload sipush,13,12,13,13,6,13,13,7226.07,,,,,,,,,
iload iinc iload i2b bastore,13,,9,13,7,13,13,6815.7,,,,,,,,,
invokespecial astore aload aload invokespecial,13,8,13,13,13,13,13,2243.32,,,,,,,,,
invokespecial astore aload ifnonnull aload,13,,13,13,13,13,,3779.4,,,,,,,,,
invokevirtual pop iinc gotoInsn aload,13,,12,12,3,13,13,6559.04,,,,,,,,,
invokevirtual pop newInsn dup aload,13,7,13,13,13,13,13,8372.9,,,,,,,,,
istore aload getfield ifnull aload,13,3,13,12,2,13,11,4773.21,,,,,,,,,
ldc invokevirtual pop iload bipush,13,,13,13,2,13,13,10286.6,,,,,,,,,
pop aload getfield ifnull aload,13,21,13,12,13,13,9,4009.24,,,,,,,,,
sipush iand ifeq aload getfield,13,13,13,13,13,13,6,5592.87,,,,,,,,,
aload getfield ifnull iinc aload,12,12,,12,,12,12,22024.9,,,,,,,,,
aload getfield invokevirtual aload getfield,12,12,12,12,12,12,12,1637.87,,,,,,,,,
aload iload iconst4 iadd invokevirtual,12,4,12,12,3,12,12,7727.58,,,,,,,,,
aload iload iinc iload i2b,12,,8,12,6,12,12,5333.31,,,,,,,,,
aload iload invokevirtual iaload invokevirtual,12,,12,12,12,12,12,11603.1,,,,,,,,,
aload iload putfield aload iload,12,7,12,12,9,12,12,11179,,,,,,,,,
astore aload ifnull aload getfield,12,2,12,12,12,12,,3523.11,,,,,,,,,
bipush aload getfield getfield iadd,12,11,12,12,12,12,12,3193.95,,,,,,,,,
bipush ifIcmpeq iload bipush ifIcmpne,12,12,12,12,3,12,1,1812.43,,,,,,,,,
getfield iconst1 iadd putfield aload,12,2,12,12,12,12,12,6194.19,,,,,,,,,
getfield ifnull iinc aload getfield,12,12,,12,,12,12,6121.2,,,,,,,,,
getfield invokespecial astore aload aload,12,9,12,12,12,12,12,3665.38,,,,,,,,,
getfield ldc invokevirtual invokevirtual pop,12,,12,12,12,12,12,5827.54,,,,,,,,,
getfield ldc invokevirtual pop iload,12,,12,12,2,12,12,13755.1,,,,,,,,,
getstatic aastore gotoInsn aload iload,12,,12,12,11,12,12,16833.6,,,,,,,,,
gotoInsn aload bipush invokevirtual pop,12,8,12,12,12,12,12,3311.38,,,,,,,,,
ifnull iinc aload getfield ifnull,12,12,,12,,12,12,5414.31,,,,,,,,,
invokespecial aload iload invokespecial aload,12,,12,12,4,12,12,7097.86,,,,,,,,,
aload aload putfield gotoInsn aload,11,,11,11,11,11,11,9117.98,,,,,,,,,
aload getfield aload getfield getfield,11,3,11,10,11,11,11,2612.52,,,,,,,,,
aload getfield astore aload getfield,11,,11,11,11,11,11,2964.88,,,,,,,,,
aload getfield getfield aload getfield,11,4,11,11,11,11,11,3876,,,,,,,,,
aload iload aload iload aload,11,6,11,11,3,11,11,14329.5,,,,,,,,,
aload ldc invokespecial aload ldc,11,,11,11,11,11,11,12375.6,,,,,,,,,
getfield getfield invokevirtual pop aload,11,,11,11,11,11,11,3585.41,,,,,,,,,
getfield ifne aload getfield getfield,11,3,11,11,11,11,,3343.51,,,,,,,,,
getfield ifnull aload aload getfield,11,12,11,10,11,11,11,4438.39,,,,,,,,,
getfield ifnull aload getfield ifne,11,9,11,11,11,11,,6682.97,,,,,,,,,
getfield ifnull aload getfield ldc,11,9,11,11,11,11,11,7356.37,,,,,,,,,
getfield invokevirtual pop aload aload,11,,11,11,11,11,11,7293.75,,,,,,,,,
getfield putfield aload aload getfield,11,,11,11,11,11,11,3840.08,,,,,,,,,
gotoInsn aload iload aload iload,11,12,11,11,2,11,11,39031.9,,,,,,,,,
gotoInsn aload ldc invokespecial gotoInsn,11,,11,11,11,11,11,4435.96,,,,,,,,,
iconst0 istore iload aload getfield,11,1,10,11,6,11,11,5234.95,,,,,,,,,
ifnull aload aload getfield ldc,11,11,11,11,11,11,11,9010.55,,,,,,,,,
ifnull aload getfield ifne aload,11,6,11,11,11,11,,9255.02,,,,,,,,,
ifnull aload getfield ldc invokevirtual,11,,11,11,11,11,11,3865.54,,,,,,,,,
iinc aload getfield ifnull iinc,11,11,11,11,,11,11,5485.2,,,,,,,,,
iinc iinc gotoInsn aload aload,11,,13,11,1,11,11,6636.86,,,,,,,,,
iload bipush aload getfield getfield,11,10,11,11,,11,11,3497.17,,,,,,,,,
iload putfield aload iload putfield,11,7,11,11,8,11,11,4400.63,,,,,,,,,
invokeinterface iinc gotoInsn aload aload,11,,11,11,7,11,11,6152.17,,,,,,,,,
invokevirtual aload aload getfield invokespecial,11,,11,11,11,11,11,2596.22,,,,,,,,,
invokevirtual invokevirtual iconst0 invokevirtual pop,11,7,11,11,11,11,11,6455.58,,,,,,,,,
ldc invokespecial aload ldc invokespecial,11,,11,11,11,11,11,6700.43,,,,,,,,,
putfield aload aload getfield putfield,11,,11,11,11,11,11,1419.22,,,,,,,,,
<code> <code> newInsn dup invokespecial,10,10,10,10,10,10,1,4534.6,,,,,,,,,
aload aload aload invokevirtual putfield,10,1,10,10,10,10,10,2077.51,,,,,,,,,
aload aload invokevirtual putfield aload,10,2,10,10,10,10,10,5876.34,,,,,,,,,
aload getfield aload putfield aload,10,2,10,9,10,10,10,8319.09,,,,,,,,,
aload getfield getfield iadd iadd,10,9,10,10,10,10,10,15048.9,,,,,,,,,
aload getfield getfield iconst0 aload,10,10,10,10,10,10,10,17066.5,,,,,,,,,
aload getfield ifIcmple aload iload,10,10,10,9,7,10,,21538.2,,,,,,,,,
aload getfield ifnull iload aload,10,13,10,10,2,10,9,20356.2,,,,,,,,,
aload iload baload sipush iand,10,8,10,10,6,10,10,7482.68,,,,,,,,,
aload invokespecial istore aload invokespecial,10,,7,10,1,10,10,6712.48,,,,,,,,,
aload invokevirtual ifeq aload iload,10,7,10,10,6,10,,20204.5,,,,,,,,,
baload sipush iand bipush ishl,10,10,10,10,10,10,10,13056,,,,,,,,,
dupX1 iconst1 iadd putfield aload,10,10,10,10,10,10,10,9095.83,,,,,,,,,
getfield getfield iadd iadd istore,10,10,10,10,,10,10,6573.68,,,,,,,,,
getfield getfield iconst0 aload getfield,10,10,10,10,10,10,10,6961.93,,,,,,,,,
getfield iadd iadd istore aload,10,5,10,10,,10,10,9802.18,,,,,,,,,
getfield iconst0 aload getfield getfield,10,10,10,10,10,10,10,2935.12,,,,,,,,,
getfield ifIcmple aload iload putfield,10,10,10,9,7,10,,4980.08,,,,,,,,,
getfield ifnull iload aload getfield,10,9,10,10,2,10,9,6855.78,,,,,,,,,
getfield ldc iand bipush ifIcmplt,10,10,10,10,10,10,10,4273.12,,,,,,,,,
getfield ldc iand ifeq aload,10,10,10,9,10,10,8,8466.55,,,,,,,,,
iconst0 aload getfield getfield invokevirtual,10,10,10,10,10,10,10,2083.32,,,,,,,,,
ifIcmpge aload iload aload aload,10,1,10,10,1,10,,19491.8,,,,,,,,,
iinc gotoInsn aload aload iload,10,,10,10,1,10,10,37155.5,,,,,,,,,
iinc gotoInsn aload iload aload,10,4,10,10,1,10,10,13910.4,,,,,,,,,
iinc gotoInsn aload iload invokevirtual,10,2,10,10,5,10,10,4527.05,,,,,,,,,
iload aload getfield ifIcmple aload,10,,10,9,7,10,,5040.13,,,,,,,,,
iload iload ifIcmpge aload getfield,10,2,10,9,4,10,5,2924.86,,,,,,,,,
iload invokevirtual pop aload getfield,10,5,10,9,6,10,10,4482.49,,,,,,,,,
iload ldc ifIcmpeq iload ldc,10,7,10,10,2,10,6,18956.2,,,,,,,,,
invokeinterface iinc gotoInsn aload iload,10,1,10,10,3,10,10,11164.7,,,,,,,,,
invokespecial istore aload invokespecial istore,10,,1,10,1,10,10,4526.67,,,,,,,,,
invokevirtual pop iload bipush aload,10,,10,10,2,10,10,36520.1,,,,,,,,,
istore aload invokespecial istore aload,10,,4,10,1,10,10,9923.01,,,,,,,,,
istore iload aload getfield ifIcmple,10,,10,10,7,10,10,1070.89,,,,,,,,,
ldc aload invokevirtual ifeq aload,10,,10,10,10,10,1,2117.33,,,,,,,,,
ldc ifIcmpeq iload ldc ifIcmpne,10,10,10,10,2,10,6,3322.43,,,,,,,,,
ldc invokevirtual pop aload getfield,10,,10,10,10,10,10,3130.42,,,,,,,,,
pop aload getfield aload invokevirtual,10,1,10,10,10,10,10,1741.4,,,,,,,,,
pop iload bipush aload getfield,10,,10,10,2,10,10,8196.68,,,,,,,,,
putfield aload iload putfield aload,10,4,10,10,9,10,10,3514.6,,,,,,,,,
<code> <code> aload getfield ifnonnull,9,9,9,9,9,9,3,1338.81,,,,,,,,,
<code> aload getfield ifnonnull aload,9,9,9,9,9,9,3,1806.98,,,,,,,,,
<code> newInsn dup invokespecial astore,9,3,9,9,9,9,1,1577.58,,,,,,,,,
aconstNull ldc iconst1 invokespecial putstatic,9,8,9,9,9,9,9,11711.2,,,,,,,,,
aload aload getfield aload getfield,9,1,9,9,9,9,9,1780.44,,,,,,,,,
aload aload ldc invokevirtual invokevirtual,9,,9,9,9,9,9,5056.55,,,,,,,,,
aload arraylength ifIcmpge aload getfield,9,9,9,8,9,9,8,4762.62,,,,,,,,,
aload arraylength invokevirtual pop iconst0,9,,9,9,9,9,9,19202.7,,,,,,,,,
aload bipush invokevirtual pop gotoInsn,9,1,9,9,9,9,9,8810.34,,,,,,,,,
aload getfield getfield ldc iand,9,8,9,8,9,9,9,10629.8,,,,,,,,,
aload ifnull aload aload aload,9,3,9,9,9,9,3,19487.4,,,,,,,,,
aload iload iconst1 iadd aload,9,7,9,9,4,9,9,4889.15,,,,,,,,,
aload iload iconst1 iadd invokevirtual,9,7,9,9,,9,9,4181.61,,,,,,,,,
aload iload invokevirtual istore aload,9,,9,9,7,9,9,6077.45,,,,,,,,,
aload iload putfield aload aload,9,,9,9,9,9,9,3549.96,,,,,,,,,
aload invokespecial istore aload iload,9,,6,9,,9,9,15653.1,,,,,,,,,
aload ldc invokevirtual pop aload,9,,9,9,9,9,9,1862.15,,,,,,,,,
areturn aload instanceofInsn ifeq aload,9,9,9,9,9,9,,5967.82,,,,,,,,,
arraylength invokevirtual pop iconst0 istore,9,,,9,8,9,9,11223.9,,,,,,,,,
astore aload ifnonnull aload getfield,9,,9,9,9,9,,3145.68,,,,,,,,,
astore iconst0 istore iload iload,9,,1,9,,9,9,39916.7,,,,,,,,,
dup getfield bipush ior putfield,9,8,9,9,9,9,9,2672.92,,,,,,,,,
dup invokespecial astore aload aload,9,4,9,9,9,9,9,2800.73,,,,,,,,,
getfield getfield ldc iand bipush,9,9,9,8,9,9,9,28717.4,,,,,,,,,
iconst1 invokespecial putstatic newInsn dup,9,8,9,9,9,9,9,13013.5,,,,,,,,,
ifIcmpge aload getfield iload iaload,9,7,9,9,4,9,5,1780.91,,,,,,,,,
iinc iload i2b bastore aload,9,,9,9,7,9,9,8248.8,,,,,,,,,
iload aload iload aload invokevirtual,9,8,9,9,3,9,9,9538.3,,,,,,,,,
iload ifIcmpge aload iload aload,9,10,9,9,,9,,13351.8,,,,,,,,,
iload invokevirtual pop gotoInsn aload,9,3,9,9,4,9,9,4635.06,,,,,,,,,
iload sipush ifIcmpne aload getfield,9,6,9,9,9,9,1,5122.21,,,,,,,,,
instanceofInsn ifeq aload checkcast invokevirtual,9,9,9,9,9,9,1,3920.18,,,,,,,,,
invokespecial gotoInsn aload iconst1 invokespecial,9,,9,9,9,9,9,9888.86,,,,,,,,,
invokevirtual iload invokevirtual pop aload,9,2,9,7,3,9,9,3341.41,,,,,,,,,
invokevirtual pop aload getfield bipush,9,5,9,4,9,9,9,5513.56,,,,,,,,,
istore aload iload invokevirtual pop,9,4,9,9,1,9,9,5993.2,,,,,,,,,
newarray astore iconst0 istore iload,9,,1,9,1,9,9,11806.7,,,,,,,,,
<code> <code> <code> <code> iconst0,8,9,8,8,4,8,4,113.305,,,,,,,,,
<code> <code> <code> <code> iload,8,14,8,8,2,8,2,113.857,,,,,,,,,
<code> aload getfield aload aload,8,6,8,8,7,8,,7389.22,,,,,,,,,
<code> aload getfield iload aload,8,8,8,8,8,8,,2868.03,,,,,,,,,
<code> aload getfield iload iload,8,8,8,8,8,8,,7578.52,,,,,,,,,
aload aload aload invokeinterface iinc,8,,8,8,8,8,8,6604.6,,,,,,,,,
aload aload getfield getfield iconst0,8,8,8,8,8,8,8,11772.6,,,,,,,,,
aload aload iload aload invokevirtual,8,5,8,8,6,8,8,7037.49,,,,,,,,,
aload aload invokeinterface iinc gotoInsn,8,,8,8,8,8,8,8552.59,,,,,,,,,
aload aload putfield aload astore,8,,8,8,8,8,8,11305.3,,,,,,,,,
aload aload putfield aload getfield,8,2,8,8,8,8,8,5454.71,,,,,,,,,
aload bipush invokevirtual pop aload,8,7,8,8,8,8,8,2409.41,,,,,,,,,
aload checkcast checkcast astore aload,8,8,8,8,8,8,8,8228.82,,,,,,,,,
aload getfield aload aload aload,8,6,8,8,8,8,8,20607.3,,,,,,,,,
aload getfield arraylength ifIcmple aload,8,8,8,8,8,8,,10030.2,,,,,,,,,
aload getfield astore aload iload,8,,8,8,7,8,8,28190.4,,,,,,,,,
aload getfield bipush aload arraylength,8,8,8,8,8,8,8,19053.7,,,,,,,,,
aload getfield ldc iand bipush,8,8,8,8,8,8,8,24428.2,,,,,,,,,
aload getfield sipush invokevirtual iload,8,5,8,7,2,8,8,18230.5,,,,,,,,,
aload getstatic ifAcmpne bipush istore,8,8,8,8,8,8,,6959.48,,,,,,,,,
aload getstatic ifAcmpne getstatic areturn,8,8,8,8,8,8,,3782.28,,,,,,,,,
aload ifnull aload getfield astore,8,1,8,8,8,8,,4392.8,,,,,,,,,
aload iload aload aload getfield,8,,8,8,,8,8,9894.74,,,,,,,,,
aload iload aload iload iconst1,8,9,8,8,,8,8,20296.9,,,,,,,,,
aload iload aload invokevirtual astore,8,5,8,8,5,8,8,5363.87,,,,,,,,,
aload iload bipush iadd aload,8,6,8,8,3,8,8,7799.24,,,,,,,,,
aload invokeinterface iinc gotoInsn iload,8,,8,7,,8,8,19347.4,,,,,,,,,
aload invokespecial aload aload putfield,8,1,8,8,8,8,8,4423.91,,,,,,,,,
arraylength ifIcmpge aload getfield bipush,8,8,8,7,8,8,8,5862.57,,,,,,,,,
astore aload getfield bipush aload,8,8,8,8,8,8,8,6941.57,,,,,,,,,
astore iconst0 istore iload aload,8,1,6,8,2,8,8,12864.4,,,,,,,,,
bipush aload arraylength invokevirtual pop,8,,8,8,8,8,8,7439.72,,,,,,,,,
bipush aload getfield aload iload,8,8,8,8,8,8,8,18442.9,,,,,,,,,
bipush ifIcmplt aload getfield ldc,8,8,8,8,8,8,6,8855.63,,,,,,,,,
bipush invokevirtual pop aload getfield,8,3,8,8,8,8,8,3921.95,,,,,,,,,
checkcast astore aload getfield bipush,8,8,8,8,8,8,8,5659.25,,,,,,,,,
checkcast checkcast astore aload getfield,8,8,8,8,8,8,8,6337.24,,,,,,,,,
dup aload dup getfield dupX1,8,8,8,8,8,8,8,18510.3,,,,,,,,,
getfield bipush aload arraylength invokevirtual,8,8,8,8,8,8,8,12765.3,,,,,,,,,
getfield ifnull aload getfield aload,8,6,8,6,8,8,3,3115.48,,,,,,,,,
getfield invokevirtual pop iinc gotoInsn,8,,,8,8,8,8,4554.6,,,,,,,,,
getstatic ifAcmpne bipush istore gotoInsn,8,,8,8,8,8,,13769.9,,,,,,,,,
gotoInsn aload aload aload iload,8,5,8,8,5,8,8,34145.6,,,,,,,,,
gotoInsn aload aload aload invokeinterface,8,,8,8,8,8,8,2033.12,,,,,,,,,
gotoInsn aload invokespecial istore aload,8,,8,8,,8,8,10754.3,,,,,,,,,
iadd aload getfield arraylength ifIcmple,8,8,8,8,8,8,8,1769.08,,,,,,,,,
iadd iload iconst3 iand isub,8,8,8,8,6,8,8,8050.34,,,,,,,,,
iadd invokevirtual istore iinc iload,8,,8,8,,8,8,19413,,,,,,,,,
iadd putfield aload getfield invokespecial,8,8,8,8,8,8,8,5932.39,,,,,,,,,
iand bipush ifIcmplt aload getfield,8,8,8,8,8,8,6,6620.57,,,,,,,,,
iconst4 iadd iload iconst3 iand,8,8,8,8,6,8,8,21030,,,,,,,,,
ifeq aload checkcast checkcast astore,8,8,8,8,8,8,8,7208.16,,,,,,,,,
ifeq aload getfield aload getfield,8,4,8,8,8,8,7,2254.52,,,,,,,,,
ifIcmpge aload getfield bipush aload,8,8,8,8,8,8,8,8070.01,,,,,,,,,
ifIcmple aload iload putfield aload,8,7,8,7,5,8,,7510.71,,,,,,,,,
ifIcmplt aload getfield ldc iand,8,8,8,8,8,8,6,7809.21,,,,,,,,,
iload aload aload getfield aload,8,,8,8,,8,8,9589.89,,,,,,,,,
iload aload getfield ifIcmpge aload,8,3,8,8,5,8,4,2799.76,,,,,,,,,
iload i2b bastore aload iload,8,,8,8,7,8,8,23863.6,,,,,,,,,
iload iaload istore aload getfield,8,1,8,8,2,8,8,8218.32,,,,,,,,,
