ASM,オリジナル,Allatori,Duplication,Irreducibility,Marge,ProGuard,Opaque,,,,,,,,,,
iastore gotoInsn aload iload aaload,2,2,2,2,,2,2,18941.4,,,,,,,,,
iastore iinc gotoInsn aload iload,2,,2,2,2,2,2,11896.5,,,,,,,,,
iconst0 aconstNull aconstNull invokevirtual aload,2,,2,2,2,2,2,10473.1,,,,,,,,,
iconst0 aload aload invokeinterface invokespecial,2,2,2,2,2,2,2,4883.28,,,,,,,,,
iconst0 aload arraylength invokestatic aload,2,,2,2,2,2,2,3256.79,,,,,,,,,
iconst0 aload getfield arraylength invokestatic,2,,2,1,2,2,2,3298.84,,,,,,,,,
iconst0 aload iconst0 aload arraylength,2,,2,2,2,2,2,16574.4,,,,,,,,,
iconst0 gotoInsn aload getfield iload,2,2,2,2,,2,2,13266,,,,,,,,,
iconst0 iconst4 aload getfield getfield,2,,2,2,2,2,2,3814.6,,,,,,,,,
iconst0 iconst4 aload getfield iconst4,2,,2,2,2,2,2,10477,,,,,,,,,
iconst0 iload aload aload invokespecial,2,2,2,2,2,2,2,4620.99,,,,,,,,,
iconst0 iload invokestatic istore iload,2,1,2,2,,2,2,18273.8,,,,,,,,,
iconst0 ireturn iload ldc iand,2,2,2,2,2,2,2,15053.3,,,,,,,,,
iconst0 istore aconstNull astore aload,2,,2,2,2,2,2,8516.02,,,,,,,,,
iconst0 istore aconstNull astore iconst0,2,2,2,2,2,2,2,17116.7,,,,,,,,,
iconst0 istore aload astore aload,2,,2,2,2,2,2,9688.42,,,,,,,,,
iconst0 istore aload getfield ifeq,2,1,1,2,,2,2,1406.94,,,,,,,,,
iconst0 istore aload iload iinc,2,,2,2,1,2,2,12367.4,,,,,,,,,
iconst0 istore gotoInsn iconst0 istore,2,,2,2,2,2,2,6418.34,,,,,,,,,
iconst1 bastore iload iconst4 iadd,2,2,2,2,,2,2,10857.7,,,,,,,,,
iconst1 iadd aload invokeinterface invokestatic,2,2,2,2,2,2,2,15314.3,,,,,,,,,
iconst1 iadd aload invokevirtual iconst1,2,2,2,2,2,2,2,9857.73,,,,,,,,,
iconst1 iadd iconst1 ixor iconst1,2,2,2,2,2,2,2,6752.8,,,,,,,,,
iconst1 iadd iload i2b bastore,2,2,2,2,2,2,2,10899.6,,,,,,,,,
iconst1 iadd invokevirtual iadd aaload,2,,2,2,2,2,2,28718.4,,,,,,,,,
iconst1 iadd invokevirtual iadd aload,2,,2,2,2,2,2,15912.3,,,,,,,,,
iconst1 iadd istore gotoInsn aload,2,,2,2,,2,2,5619.42,,,,,,,,,
iconst1 iadd newarray astore aload,2,2,2,2,2,2,2,16147.7,,,,,,,,,
iconst1 iadd putfield aload iload,2,2,2,2,,2,2,17771,,,,,,,,,
iconst1 iand ifeq iconst1 gotoInsn,2,2,2,2,2,2,1,8578.11,,,,,,,,,
iconst1 ifIcmpne aload aload iconst0,2,2,2,2,2,2,,60909.7,,,,,,,,,
iconst1 invokespecial aload invokespecial istore,2,,2,2,,2,2,6132.77,,,,,,,,,
iconst1 invokevirtual iinc gotoInsn aload,2,,,2,,2,2,8798.14,,,,,,,,,
iconst1 istore aload iload iinc,2,,1,2,,2,2,17148,,,,,,,,,
iconst1 istore aload iload iload,2,2,2,2,2,2,2,12458.5,,,,,,,,,
iconst1 istore gotoInsn aload iload,2,,2,2,1,2,2,9695.41,,,,,,,,,
iconst1 istore iconst0 istore aload,2,2,,2,,2,2,7836.57,,,,,,,,,
iconst1 istore iconst0 istore iload,2,,2,2,,2,2,14970,,,,,,,,,
iconst1 istore iload iload ifIcmpge,2,,2,2,1,2,2,4520.26,,,,,,,,,
iconst1 isub gotoInsn iload iconst1,2,2,2,2,2,2,2,33509.5,,,,,,,,,
iconst1 isub iload bipush iadd,2,2,2,2,2,2,2,14581.5,,,,,,,,,
iconst1 isub iload ldc ior,2,2,2,2,,2,2,13183.5,,,,,,,,,
iconst1 isub invokespecial istore iload,2,,,2,,2,2,21604,,,,,,,,,
iconst1 isub invokevirtual astore iload,2,2,2,2,2,2,2,19018.6,,,,,,,,,
iconst1 isub invokevirtual astore ldc,2,2,2,2,2,2,2,15358.8,,,,,,,,,
iconst1 isub istore iload aload,2,,,2,,2,2,20736.2,,,,,,,,,
iconst1 isub ldc invokespecial gotoInsn,2,,2,2,2,2,2,11236.9,,,,,,,,,
iconst1 ixor iconst1 isub gotoInsn,2,2,2,2,2,2,2,17158.3,,,,,,,,,
iconst1 ixor invokevirtual pop aload,2,,2,2,2,2,2,7613.69,,,,,,,,,
iconst1 putfield aload getfield bipush,2,,2,2,2,2,2,6296.98,,,,,,,,,
iconst2 aload getfield arraylength aload,2,2,2,2,2,2,2,7571.54,,,,,,,,,
iconst2 aload getfield arraylength imul,2,2,2,2,2,2,2,3687.17,,,,,,,,,
iconst2 aload getfield imul iadd,2,2,2,2,2,2,2,5882.68,,,,,,,,,
iconst2 gotoInsn iconst1 iadd istore,2,,1,2,,2,2,9930.88,,,,,,,,,
iconst2 iadd aload getfield arraylength,2,2,2,2,2,2,2,9755.8,,,,,,,,,
iconst2 iadd aload iload invokevirtual,2,,2,2,1,2,2,5458.57,,,,,,,,,
iconst2 iadd baload sipush iand,2,2,2,2,2,2,2,8188.33,,,,,,,,,
iconst2 iadd iload iadd aload,2,2,2,2,2,2,2,20207.6,,,,,,,,,
iconst2 iadd invokevirtual aload iconstM1,2,2,2,2,2,2,2,44835,,,,,,,,,
iconst2 iadd invokevirtual aload iload,2,2,2,2,1,2,2,22811.7,,,,,,,,,
iconst2 iadd invokevirtual iaload istore,2,2,2,2,2,2,2,15174.8,,,,,,,,,
iconst2 iadd putfield aload areturn,2,,2,,2,2,2,4244.52,,,,,,,,,
iconst2 iand ifeq iconst1 gotoInsn,2,2,2,2,2,2,1,8819.52,,,,,,,,,
iconst2 iload iadd invokespecial aload,2,1,2,2,2,2,2,11774.1,,,,,,,,,
iconst2 invokespecial aload getfield astore,2,,2,1,2,2,2,6371.89,,,,,,,,,
iconst2 irem ifne aload dup,2,2,2,2,2,2,,28833.1,,,,,,,,,
iconst2 ishl iadd iload iadd,2,2,2,2,2,2,2,16058.7,,,,,,,,,
iconst2 ishr iadd iload iconst3,2,2,2,2,2,2,2,23925.1,,,,,,,,,
iconst2 ishr isub iload iconst3,2,2,2,2,,2,2,24697.9,,,,,,,,,
iconst3 iand ineg istore gotoInsn,2,,2,2,2,2,2,20415.1,,,,,,,,,
iconst3 iand istore aload iload,2,2,2,2,,2,2,19070.2,,,,,,,,,
iconst3 iconst3 iload iadd invokespecial,2,,2,2,,2,2,12347.5,,,,,,,,,
iconst3 iload iadd iconst4 iload,2,2,2,2,,2,2,23068.8,,,,,,,,,
iconst3 iload iadd invokespecial aload,2,,2,2,,2,2,12489.6,,,,,,,,,
iconst3 istore iconst0 istore gotoInsn,2,,2,2,2,2,2,8794.85,,,,,,,,,
iconst4 aload getfield getfield iconst4,2,,2,2,2,2,2,12772.4,,,,,,,,,
iconst4 aload getfield iconst4 irem,2,,2,2,2,2,2,4115.33,,,,,,,,,
iconst4 iadd aload invokevirtual aload,2,2,2,2,2,2,2,4434.11,,,,,,,,,
iconst4 iadd aload invokevirtual astore,2,2,2,2,2,2,2,9396.02,,,,,,,,,
iconst4 iadd invokevirtual iaload istore,2,,2,2,1,2,2,16471.8,,,,,,,,,
iconst4 iand ifne iload bipush,2,2,2,2,,2,,21109.5,,,,,,,,,
iconst4 iload iadd invokespecial gotoInsn,2,,2,2,,2,2,8657.77,,,,,,,,,
iconst4 invokevirtual pop iinc gotoInsn,2,,2,1,,2,2,6816.72,,,,,,,,,
iconst4 irem invokevirtual pop aload,2,,2,2,2,2,2,7220.38,,,,,,,,,
iconst4 irem invokevirtual pop iload,2,,2,2,2,2,2,24565.7,,,,,,,,,
iconst4 istore iconst1 istore gotoInsn,2,,2,2,2,2,2,10367.1,,,,,,,,,
iconst5 ifIcmpeq aload getfield bipush,2,2,2,2,2,2,,7559.28,,,,,,,,,
iconstM1 iconstM1 aload invokevirtual returnInsn,2,,2,2,2,2,2,2640.48,,,,,,,,,
ifAcmpeq newInsn dup invokespecial astore,2,1,2,2,2,2,,8315.73,,,,,,,,,
ifeq aload aload getfield getfield,2,2,2,1,2,2,1,4629.26,,,,,,,,,
ifeq aload aload invokeinterface gotoInsn,2,,2,2,2,2,,8792.33,,,,,,,,,
ifeq aload checkcast astore aload,2,1,2,2,2,2,,4290.84,,,,,,,,,
ifeq aload checkcast invokevirtual ifeq,2,2,2,2,2,2,1,3478.2,,,,,,,,,
ifeq aload getfield astore aload,2,1,2,2,2,2,,3369.72,,,,,,,,,
ifeq aload getfield bipush invokevirtual,2,2,2,2,2,2,,4671.83,,,,,,,,,
ifeq aload getfield ifnonnull aload,2,2,2,2,2,2,,5053.93,,,,,,,,,
ifeq aload getfield ldc iand,2,2,2,2,2,2,,6639.34,,,,,,,,,
ifeq aload iload aaload aload,2,1,2,2,2,2,,8352.12,,,,,,,,,
ifeq aload iload aload aload,2,2,2,2,2,2,,23081.4,,,,,,,,,
ifeq iconst1 gotoInsn iconst0 putfield,2,2,2,2,2,2,2,6130.31,,,,,,,,,
ifeq iinc aload getfield ifnull,2,2,,2,,2,2,6878.45,,,,,,,,,
ifeq iinc aload getfield ldc,2,2,,2,,2,2,10137.7,,,,,,,,,
ifeq iload iconst4 iand ifne,2,2,2,2,2,2,,8684.14,,,,,,,,,
ifeq iload ldc ifIcmpeq iload,2,2,2,2,,2,2,17252.1,,,,,,,,,
ifeq ldc gotoInsn ldc invokevirtual,2,,2,2,2,2,2,9558.23,,,,,,,,,
ifIcmpeq aload iload iconst1 isub,2,2,2,2,2,2,2,17685.4,,,,,,,,,
ifIcmpeq gotoInsn iinc gotoInsn iload,2,,2,2,,2,,14509.4,,,,,,,,,
ifIcmpeq iconst0 ireturn aload getfield,2,2,2,2,2,2,,4076.1,,,,,,,,,
ifIcmpeq iinc gotoInsn aload iload,2,,2,2,,2,,13586.7,,,,,,,,,
ifIcmpeq iinc gotoInsn newInsn dup,2,,2,1,2,2,,9492.33,,,,,,,,,
ifIcmpeq iload bipush ifIcmpne aload,2,2,2,1,1,2,1,6331.94,,,,,,,,,
ifIcmpeq iload bipush ifIcmpne bipush,2,2,2,2,,2,,11637.4,,,,,,,,,
ifIcmpeq iload bipush ifIcmpne iinc,2,2,2,2,,2,,8382.77,,,,,,,,,
ifIcmpeq iload bipush ifIcmpne iload,2,2,2,3,2,2,,7584.77,,,,,,,,,
ifIcmpeq iload ldc ifIcmpne ldc,2,2,2,2,,2,2,12819.3,,,,,,,,,
ifIcmpge aload aload getfield iload,2,3,2,2,1,2,1,8626.21,,,,,,,,,
ifIcmpge aload getfield iload aload,2,,2,1,2,2,1,4981.33,,,,,,,,,
ifIcmpge aload getfield iload iinc,2,,2,2,1,2,1,5984.15,,,,,,,,,
ifIcmpge aload iload aaload aload,2,1,2,2,1,2,,6787.88,,,,,,,,,
ifIcmpge aload iload aaload getfield,2,2,2,2,2,2,,3864.94,,,,,,,,,
ifIcmpge aload iload aaload instanceofInsn,2,2,2,2,,2,,2958.91,,,,,,,,,
ifIcmpge aload iload baload sipush,2,2,2,2,,2,,15465.6,,,,,,,,,
ifIcmpge iload bipush isub gotoInsn,2,2,2,2,2,2,,11868.1,,,,,,,,,
ifIcmpge iload iload isub istore,2,2,2,2,,2,,12650.4,,,,,,,,,
ifIcmpgt aload iload iinc iload,2,,,2,,2,,24970,,,,,,,,,
ifIcmpgt iload aload iload iaload,2,2,2,2,,2,,7278.11,,,,,,,,,
ifIcmpgt iload iconst1 iadd iconst1,2,2,2,2,2,2,,26755.2,,,,,,,,,
ifIcmple aload iconst2 invokespecial aload,2,2,2,1,2,2,,8800.21,,,,,,,,,
ifIcmple aload iload putfield iload,2,2,2,2,2,2,,14656.7,,,,,,,,,
ifIcmple iload istore aload getfield,2,1,2,2,2,2,,5630.3,,,,,,,,,
ifIcmple iload sipush ifIcmpge iload,2,2,2,2,2,2,,11913.9,,,,,,,,,
ifIcmplt aload getfield iconst1 iadd,2,,2,2,2,2,2,3440.93,,,,,,,,,
ifIcmplt iconst1 gotoInsn iconst0 istore,2,2,1,2,1,2,2,7964.96,,,,,,,,,
ifIcmplt iload aload getfield iload,2,2,2,2,,2,2,13019.4,,,,,,,,,
ifIcmplt iload bipush ifIcmpgt aload,2,2,2,2,,2,,7127.1,,,,,,,,,
ifIcmplt iload sipush ifIcmple aload,2,2,2,2,,2,,12265.1,,,,,,,,,
ifIcmpne aload aload iload iconst2,2,2,2,2,1,2,2,27686.3,,,,,,,,,
ifIcmpne aload getfield aload getfield,2,2,2,2,2,2,8,2508.92,,,,,,,,,
ifIcmpne aload getfield iconst0 invokevirtual,2,2,2,2,2,2,2,8878.53,,,,,,,,,
ifIcmpne aload getfield sipush invokevirtual,2,,2,2,2,2,4,10067.6,,,,,,,,,
ifIcmpne aload iload aload invokeinterface,2,1,2,2,,2,4,9174.26,,,,,,,,,
ifIcmpne aload iload iconst1 iadd,2,2,2,2,1,2,3,10077.7,,,,,,,,,
ifIcmpne aload iload iconst1 isub,2,2,2,1,2,2,4,16325.8,,,,,,,,,
ifIcmpne aload sipush invokevirtual pop,2,,2,2,2,2,2,19178.9,,,,,,,,,
ifIcmpne iconst0 ireturn iload ldc,2,2,2,2,2,2,2,16524.2,,,,,,,,,
ifIcmpne iconst2 gotoInsn iconst1 iadd,2,2,2,2,2,2,2,6800.78,,,,,,,,,
ifIcmpne iinc aload iload invokevirtual,2,,2,2,,2,2,4171.7,,,,,,,,,
ifIcmpne iinc gotoInsn iload bipush,2,1,1,2,,2,2,13280.4,,,,,,,,,
ifIcmpne iinc iinc gotoInsn aload,2,,3,2,,2,2,11268.4,,,,,,,,,
ifIcmpne iload istore gotoInsn iload,2,,2,2,,2,2,16941.1,,,,,,,,,
ifle aload aload arraylength putfield,2,2,2,2,2,2,1,2848.13,,,,,,,,,
ifle aload aload iload invokevirtual,2,3,2,2,1,2,,5253.27,,,,,,,,,
ifle aload getfield ldc invokevirtual,2,,2,2,2,2,2,5070.18,,,,,,,,,
ifle aload iload bipush iadd,2,,2,2,,2,,17088.3,,,,,,,,,
ifle aload iload iconst1 isub,2,2,2,2,2,2,2,15252.9,,,,,,,,,
ifle iload bipush aload iload,2,,2,2,,2,,46942.5,,,,,,,,,
ifne aload dup getfield iconst1,2,,2,2,2,2,,20107.6,,,,,,,,,
ifne aload dup getfield sipush,2,,2,2,2,2,,12631.4,,,,,,,,,
ifne aload getfield astore aload,2,,2,2,2,2,,3601.06,,,,,,,,,
ifne aload getfield ifle aload,2,2,2,2,2,2,,7817.93,,,,,,,,,
ifne aload iconst1 putfield aload,2,,2,2,2,2,,5647.79,,,,,,,,,
ifne aload invokestatic istore aload,2,,,2,,2,,11270.1,,,,,,,,,
ifne iload iconst3 iand istore,2,2,2,2,,2,,8647.33,,,,,,,,,
ifne newInsn dup invokespecial astore,2,,2,2,2,2,,4886.92,,,,,,,,,
ifnonnull aload aload getfield invokespecial,2,,2,2,2,2,,3760.17,,,,,,,,,
ifnonnull aload aload getfield invokestatic,2,,2,2,2,2,,2882.87,,,,,,,,,
ifnonnull aload bipush aload aload,2,,2,2,2,2,,37144.5,,,,,,,,,
ifnonnull aload getfield bipush aload,2,2,2,2,2,2,,9267.24,,,,,,,,,
ifnonnull aload getfield ldc iand,2,2,2,2,2,2,,9287.12,,,,,,,,,
ifnonnull iconst0 gotoInsn aload getfield,2,2,2,2,2,2,2,4550.84,,,,,,,,,
ifnull aload aload aload aload,2,1,2,2,2,2,,14523.7,,,,,,,,,
ifnull aload aload invokeinterface iload,2,1,2,2,2,2,,10075.3,,,,,,,,,
ifnull aload aload invokevirtual aload,2,,2,2,2,2,,1139.24,,,,,,,,,
ifnull aload arraylength ifle aload,2,2,2,2,2,2,1,6994.55,,,,,,,,,
ifnull aload getfield getfield astore,2,2,2,2,2,2,1,2953.16,,,,,,,,,
ifnull aload getfield getfield ldc,2,2,2,2,2,2,2,12056.6,,,,,,,,,
ifnull aload getfield ifnonnull aload,2,2,2,2,2,2,,5474.23,,,,,,,,,
ifnull aload getfield invokevirtual astore,2,1,2,2,2,2,,6295.18,,,,,,,,,
ifnull aload ifnull aload aload,2,1,2,2,2,2,,7486.37,,,,,,,,,
ifnull aload invokeinterface iinc gotoInsn,2,,2,1,1,2,,15355.5,,,,,,,,,
ifnull iinc iload aload getfield,2,,2,2,,2,1,15700.9,,,,,,,,,
ifnull iinc iload aload invokevirtual,2,,1,2,,2,,14559.5,,,,,,,,,
ifnull iload aload getfield arraylength,2,2,2,2,1,2,2,12631,,,,,,,,,
iinc aload bipush iload iconst2,2,1,2,2,2,2,2,19084.7,,,,,,,,,
iinc aload iload invokevirtual bipush,2,,2,2,,2,2,15504.9,,,,,,,,,
iinc baload sipush iand tableswitch,2,,2,2,2,2,2,3837.4,,,,,,,,,
iinc gotoInsn aload aload getfield,2,,2,2,1,2,2,6222.1,,,,,,,,,
iinc gotoInsn aload getfield astore,2,,2,2,1,2,2,5946.79,,,,,,,,,
iinc gotoInsn aload getfield iload,2,,2,2,,2,2,8687.03,,,,,,,,,
iinc gotoInsn aload iload iinc,2,1,2,2,,2,2,11599.9,,,,,,,,,
iinc gotoInsn aload iload putfield,2,,2,2,1,2,2,7331.45,,,,,,,,,
iinc gotoInsn aload invokespecial returnInsn,2,,2,1,1,2,2,2553.45,,,,,,,,,
iinc gotoInsn aload putstatic returnInsn,2,,2,2,2,2,2,3733.85,,,,,,,,,
iinc gotoInsn iload ifeq aload,2,,2,2,,2,,4624.28,,,,,,,,,
iinc gotoInsn iload iload iconst1,2,1,2,2,2,2,2,46817.8,,,,,,,,,
iinc gotoInsn ldc aload invokevirtual,2,,2,2,2,2,2,12160.1,,,,,,,,,
iinc gotoInsn newInsn dup bipush,2,2,2,1,2,2,2,20625.9,,,,,,,,,
iinc iconst0 istore iload aload,2,,2,2,1,2,2,31446.8,,,,,,,,,
iinc iconst0 istore iload ifle,2,,2,2,,2,2,2993.51,,,,,,,,,
iinc iinc gotoInsn ldc aload,2,,2,2,2,2,2,16123.1,,,,,,,,,
iinc iload aload getfield getfield,2,,2,2,,2,2,4313.16,,,,,,,,,
iinc iload aload invokevirtual iadd,2,,2,2,,2,2,14896.9,,,,,,,,,
iinc iload i2b bastore gotoInsn,2,,2,2,,2,2,5425.13,,,,,,,,,
iinc iload ifle aload aload,2,,2,2,1,2,,12856,,,,,,,,,
iinc sipush iload bipush iand,2,,2,2,,2,2,9267.32,,,,,,,,,
iload aaload aload aload getfield,2,,2,2,,2,2,9176.44,,,,,,,,,
iload aaload aload iload iload,2,2,2,2,2,2,2,20168.2,,,,,,,,,
iload aaload checkcast getfield invokevirtual,2,2,2,2,,2,2,7134.18,,,,,,,,,
iload aaload checkcast invokevirtual iastore,2,2,2,2,,2,2,13755.5,,,,,,,,,
iload aaload checkcast invokevirtual ior,2,2,2,2,,2,2,5772,,,,,,,,,
iload aaload getfield aload invokevirtual,2,2,2,2,2,2,2,5886.45,,,,,,,,,
iload aaload getfield astore aload,2,,2,2,2,2,2,6885.81,,,,,,,,,
iload aaload invokevirtual iastore iinc,2,,2,2,2,2,2,10776.7,,,,,,,,,
iload aaload putfield aload iload,2,,2,1,2,2,2,29289.3,,,,,,,,,
iload aconstNull aconstNull invokevirtual gotoInsn,2,,2,2,2,2,2,17842.6,,,,,,,,,
iload aload aconstNull aload invokespecial,2,1,2,2,2,2,2,5761.65,,,,,,,,,
iload aload aload aload iload,2,2,2,2,2,2,2,39977.9,,,,,,,,,
iload aload aload iconst0 aload,2,2,2,2,1,2,2,41003.2,,,,,,,,,
iload aload aload iload aaload,2,,2,2,2,2,2,22835.5,,,,,,,,,
iload aload getfield arraylength ifIcmpge,2,1,2,2,1,2,2,1480.02,,,,,,,,,
iload aload getfield getfield ifIcmpge,2,1,2,2,,2,2,4088.18,,,,,,,,,
iload aload getfield ifIcmplt iload,2,,2,2,,2,2,5333.25,,,,,,,,,
iload aload getfield ifnonnull aload,2,2,2,2,2,2,,10533.6,,,,,,,,,
iload aload getfield iload aaload,2,2,2,2,,2,2,6259.6,,,,,,,,,
iload aload iload iaload ifIcmpge,2,2,2,2,,2,2,4953.87,,,,,,,,,
iload aload iload iconst4 iadd,2,1,2,2,,2,2,9888.86,,,,,,,,,
iload aload iload invokevirtual bipush,2,,2,2,2,2,2,15814.9,,,,,,,,,
iload aload iload invokevirtual iastore,2,,2,2,1,2,2,5929.18,,,,,,,,,
iload aload invokevirtual aload invokevirtual,2,2,2,2,2,2,2,1945.6,,,,,,,,,
iload aload invokevirtual iadd istore,2,,2,2,,2,2,5755.17,,,,,,,,,
iload aload invokevirtual pop iinc,2,1,2,2,1,2,2,8984.14,,,,,,,,,
iload anewarray astore iconst1 istore,2,1,1,2,,2,2,13054.3,,,,,,,,,
iload baload ifne iload iconst3,2,2,2,2,,2,,23080.4,,,,,,,,,
iload baload tableswitch aload iload,2,,2,2,2,2,2,31445,,,,,,,,,
iload baload tableswitch iinc gotoInsn,2,,2,2,,2,2,19034,,,,,,,,,
iload bipush iadd i2b bastore,2,2,2,2,2,2,2,14853,,,,,,,,,
iload bipush iadd istore iload,2,8,2,2,,2,2,15093.8,,,,,,,,,
iload bipush iand i2c istore,2,2,2,2,,2,2,7238.74,,,,,,,,,
iload bipush iand ior i2b,2,,2,2,,2,2,3145.93,,,,,,,,,
iload bipush iand ior i2c,2,2,2,2,,2,2,3043.49,,,,,,,,,
iload bipush ifIcmpgt aload iload,2,2,2,2,,2,,17069,,,,,,,,,
iload bipush ifIcmpne iinc gotoInsn,2,2,2,2,,2,,14992.6,,,,,,,,,
iload bipush ishl iload bipush,2,1,2,2,,2,2,24776.6,,,,,,,,,
iload bipush isub gotoInsn iload,2,2,2,2,2,2,2,37122.3,,,,,,,,,
iload bipush isub iconst2 ishl,2,2,2,2,2,2,2,11975.6,,,,,,,,,
iload bipush isub istore iload,2,,2,2,,2,2,16380.7,,,,,,,,,
iload iadd aload getfield arraylength,2,2,2,2,2,2,2,9656.03,,,,,,,,,
iload iadd caload bipush ifIcmpeq,2,2,2,2,2,2,2,6569.47,,,,,,,,,
iload iadd iand putfield aload,2,,2,2,2,2,2,33387.9,,,,,,,,,
iload iadd iconst4 iload iadd,2,2,2,2,,2,2,17978.3,,,,,,,,,
iload iadd iload iadd invokespecial,2,2,2,2,,2,2,9749.73,,,,,,,,,
iload iadd istore iinc gotoInsn,2,,2,2,,2,2,6543.28,,,,,,,,,
iload iaload aload getfield iload,2,2,2,2,2,2,2,11006.5,,,,,,,,,
iload iaload iadd istore iload,2,,2,2,2,2,2,19143.4,,,,,,,,,
iload iaload ifIcmpge aload iload,2,2,2,1,,2,,30776.4,,,,,,,,,
iload iaload iload ifIcmpgt iload,2,2,2,2,,2,2,27985.9,,,,,,,,,
iload iaload invokevirtual pop iinc,2,,2,2,1,2,2,8867,,,,,,,,,
iload iaload istore iload ifne,2,,2,2,1,2,2,23050.2,,,,,,,,,
iload iconst0 aconstNull aconstNull invokevirtual,2,,2,2,2,2,2,17705.7,,,,,,,,,
iload iconst0 aload getfield aload,2,2,2,2,2,2,2,10245.2,,,,,,,,,
iload iconst1 bastore iload iconst4,2,2,2,2,,2,2,18165.8,,,,,,,,,
iload iconst1 iadd aload invokeinterface,2,2,2,2,,2,2,5794.56,,,,,,,,,
iload iconst1 iadd iadd istore,2,2,1,2,2,2,2,6806.11,,,,,,,,,
iload iconst1 iadd iconst1 ixor,2,2,2,2,2,2,2,5644.21,,,,,,,,,
iload iconst1 iadd istore aload,2,1,1,2,,2,2,6288.15,,,,,,,,,
iload iconst1 iadd istore iload,2,,2,2,2,2,2,9876.12,,,,,,,,,
iload iconst1 iand ifeq iconst1,2,1,2,2,2,2,1,13791.7,,,,,,,,,
iload iconst1 ifIcmpne aload aload,2,2,2,2,2,2,,8698.81,,,,,,,,,
iload iconst1 invokevirtual aload getfield,2,,2,2,,2,2,6356.89,,,,,,,,,
iload iconst1 invokevirtual iinc gotoInsn,2,,,2,,2,2,8305.08,,,,,,,,,
iload iconst1 isub iload bipush,2,2,2,2,,2,2,17447.8,,,,,,,,,
iload iconst1 isub iload ldc,2,2,2,2,,2,2,19219.1,,,,,,,,,
iload iconst1 isub invokespecial istore,2,,,2,,2,2,6200.48,,,,,,,,,
iload iconst1 isub invokevirtual astore,2,2,2,2,2,2,2,10618.6,,,,,,,,,
iload iconst1 isub ldc invokespecial,2,2,2,2,2,2,2,15484.5,,,,,,,,,
iload iconst1 ixor invokevirtual pop,2,,2,2,2,2,2,5381.66,,,,,,,,,
iload iconst2 iadd aload getfield,2,,2,2,2,2,2,5486.35,,,,,,,,,
iload iconst2 iadd aload iload,2,,2,2,1,2,2,33012.7,,,,,,,,,
iload iconst2 iadd baload sipush,2,2,2,2,2,2,2,11127.3,,,,,,,,,
iload iconst2 iadd invokevirtual iaload,2,2,2,2,1,2,2,26572.4,,,,,,,,,
iload iconst2 iadd istore iload,2,2,2,2,2,2,2,16238.7,,,,,,,,,
iload iconst2 iand ifeq iconst1,2,2,2,2,2,2,1,14372.3,,,,,,,,,
iload iconst2 ishr iadd iload,2,2,2,2,2,2,2,23160.5,,,,,,,,,
iload iconst2 ishr isub iload,2,2,2,2,,2,2,24158,,,,,,,,,
iload iconst3 iand ineg istore,2,,2,2,,2,2,6292.93,,,,,,,,,
iload iconst3 iand istore aload,2,2,2,2,,2,2,16917.2,,,,,,,,,
iload iconst4 iadd invokevirtual iadd,2,1,2,2,,2,2,22027.7,,,,,,,,,
iload iconst4 iand ifne iload,2,2,2,2,,2,2,20655.6,,,,,,,,,
iload iconst4 invokevirtual pop iinc,2,,2,2,,2,2,6761.41,,,,,,,,,
iload ifeq aload aload invokeinterface,2,,2,2,2,2,,2723.85,,,,,,,,,
iload ifeq aload getfield ifnonnull,2,1,2,2,2,2,,5637.39,,,,,,,,,
iload ifeq aload iconstM1 iload,2,1,2,2,2,2,,21768.1,,,,,,,,,
iload ifeq aload iload aload,2,2,2,2,2,2,,11661.6,,,,,,,,,
iload ifeq ldc gotoInsn ldc,2,,2,2,1,2,2,10535.1,,,,,,,,,
iload ifIcmpge aload iload aaload,2,2,2,2,,2,,8550.84,,,,,,,,,
iload ifIcmpge iload iload isub,2,2,2,2,,2,,6907.06,,,,,,,,,
iload ifIcmpgt iload aload iload,2,2,2,2,,2,,40409.5,,,,,,,,,
iload ifIcmple iload istore aload,2,2,2,2,2,2,,7316.64,,,,,,,,,
iload ifIcmplt aload getfield iconst1,2,,2,2,2,2,2,10545.2,,,,,,,,,
iload ifle aload iload bipush,2,2,2,2,,2,,16451.7,,,,,,,,,
iload ifle aload iload iconst1,2,2,2,2,2,2,2,19288.7,,,,,,,,,
iload ifle iload bipush aload,2,,2,2,,2,,42118.2,,,,,,,,,
iload ifne aload getfield iload,2,,2,2,1,2,2,6901.11,,,,,,,,,
iload ifne aload iload iload,2,,2,2,,2,1,13153.4,,,,,,,,,
iload ifne aload invokestatic istore,2,,,2,,2,,11516.9,,,,,,,,,
iload iload aconstNull aconstNull invokevirtual,2,,2,2,2,2,2,18481.2,,,,,,,,,
iload iload i2b bastore gotoInsn,2,2,2,1,,2,2,6576.71,,,,,,,,,
iload iload iadd istore aload,2,1,2,2,1,2,2,5598.05,,,,,,,,,
iload iload iadd istore iinc,2,,2,2,,2,2,10329.3,,,,,,,,,
iload iload iastore iconst1 ireturn,2,,2,2,1,2,2,4019.36,,,,,,,,,
iload iload iconst1 iadd iadd,2,2,2,2,2,2,2,18447.1,,,,,,,,,
iload iload iconst1 isub invokevirtual,2,2,2,2,,2,2,4830.51,,,,,,,,,
iload iload ifIcmpge iload iload,2,2,2,2,,2,,45672.1,,,,,,,,,
